,,,,
,,,,
,,TOPIC/INTENT,FACTUAL CONTEXT(THE ANSWER)),KEYWORDS/TAGS
,,,,
,,Enrollment - New College Freshmen (Online),"The Online Application & Enrollment Procedure for New College Freshmen involves 8 steps:   1. Register on the application portal at ums.icct.edu.ph.   2. Pay the Application Fee using your application number and name (waived for SHS Grade 11 applicants).   3. Submit admission requirements (Proof of Payment, SHS Report Card, Form 137A, Original Copy of Certificate of Good Moral Character) to the Admissions Office, Mon-Sat, 7:00 AM to 7:00 PM.   4. Receive Tentative Class Schedule (TCS) and pay down payment or full cash amount at authorized centers.   5. Activate Student Portal using Student ID as username and LAST NAME in ALL CAPS as password.   6. Generate and download your Official Registration Form (ORF) from the portal.   7. Attend the New Student Orientation.   8. Process and claim your Student ID and Library Card at the Library Department.","freshmen, new student, online enrollment, application steps, requirements, student portal"
,,,,
,,Enrollment - New College Freshmen (Walk-In),"If having trouble online, freshmen can walk-in Mon-Sat (except Holidays), 7:00 AM to 7:00 PM:   1. Visit any campus Portal Hub to get an application number.   2. Pay the Application Fee (waived for Grade 11 applicants).   3. Submit requirements (Proof of payment, SHS Grade 12 Report Card, Form 137A, Original Good Moral Character) to the Admissions Office.   4. Receive Tentative Class Schedule (TCS) and pay down payment or full cash.   5. Activate Student Portal (Username: Student ID, Password: LAST NAME in ALL CAPS).   6. Download ORF from portal dashboard; Google Classroom codes are listed below Subject Codes.   7. Attend New Student Orientation to learn policies and learning modalities.   8. Claim Student ID/Library Card at the Library Department, open Mon-Sat, 7:00 AM to 7:00 PM","walk-in, onsite enrollment, freshman procedures, campushub, physical application"
,,,,
,,Enrollment - Transferees & Second Courses,"Enrollment for Transferees and Second Course students involves an 11-step process:   1. Complete online application at ums.icct.edu.ph.   2. Receive confirmation via registered email.   3. Access portal and change password.   4. Pay Application Fee using Application Number as reference.   5. Submit required documents every Saturday (8:00 AM to 4:00 PM) at the Admissions Office in a long brown envelope labeled with Full Name, Application, and Contact Number. Requirements include: Letter of Intent, Original Transcript of Records (TOR)/Certificate of Grades, Original Honorable Dismissal or Certificate of Transfer, online application copy, and two photocopies of PSA Birth Certificate.   6. Evaluation takes 5 to 7 working days.   7. Settle Down Payment; receive Student ID via text within 2-3 banking days.   8. Log in to Student Portal.   9. Click 'Official Registration & Assessment' to download the ORF.   10. Attend orientation.   11. Process Student ID and Library Card at the Library (Mon-Sat, 7 AM - 7 PM).","transferee, second course, honorable dismissal, transfer, TOR, evaluation, grades"
,,,,
,,Enrollment - New Senior High School (SHS),"Senior High School (SHS) applicants can enroll online or walk-in. Steps include:   1. Apply via ums.icct.edu.ph or visit a campus for assistance (Mon-Sat, 7 AM to 7 PM).   2. Pay a one-time Grade 11 Registration Fee of ₱370 using your application number and full name.   3. Submit requirements: Proof of Payment, Junior High School (Grade 10) Report Card SF9, Certificate of Good Moral Character, and 2 photocopies of JHS Certificate of Completion.   4. Receive Tentative Class Schedule (TCS). Payees/ESC Grantees must pay a ₱1,000 downpayment or full cash amount (SHS Voucher Grantees disregard fee assessment).   5. Activate Portal (Username: Student ID, Password: LAST NAME in capital letters).   6. Download your Official Registration Form (ORF) from the portal.   7. Attend Orientation.   8. Visit the Library Department to process Student ID/Library Card (Mon-Sat except holidays, 7:00 AM to 7:00 PM).","shs enrollment, senior high school, grade 11, registration fee, jhs card, voucher grantee"
,,,,
,,Admissions - Requirements Checklist,"Document checklists by student type :   - Freshmen: SHS Report Card SF9 (Original), Good Moral Character (Original), 2 Photocopies of PSA/NSO Birth Certificate, 2 pcs 2x2 pictures.   - Transferees / Second Courses: Transcript of Records (TOR)/Certificate of Grades (Original copy), Good Moral Character (Original copy), Honorable Dismissal (Original copy), 2 photocopies of PSA/NSO Birth Certificate, 2 pcs 2x2 colored pictures with white background.   - SHS Applicants: JHS Report Card SF9 (Original), Good Moral Character (Original), 2 photocopies of PSA/NSO Birth Certificate, 2 pcs 2x2 pictures.   - ALS Passers: DepEd ALS Rating Certificate (COR), Certificate of Completion (CoC) from ALS Center, Learners Permanent Record AF-5 (Original copy), 2 photocopies of NSO/PSA Birth Certificate, 2 pcs 2x2 pictures.","requirements, document checklist, documents needed, als, tor, birth certificate, sf9, good moral"
,,,,
,,Admissions - Foreign Students,"Admission requirements for Foreign Freshmen include : Original Scholastic/Permanent Record, Original copy of Certificate of Good Moral Character, 3 photocopies of passport (present original), 3 photocopies of student visa (present original), 3 photocopies of Police/NBI Clearance (present original), 3 photocopies of Quarantine medical clearance from the national quarantine office (present original), and 2 pcs 2x2 colored ID pictures with white background. Applicants must email jrance@icct.edu.ph for further details","foreign student, international student, visa, passport, nbi clearance, quarantine, jrance"
,,,,
,,Schedule - Class Sessions and Timings,"Flexible class schedules are offered across campuses.   - General College Sessions: Morning (6:00 AM - 10:30 AM), Noon (10:30 AM - 3:00 PM), Afternoon (3:00 PM - 6:30 PM), Evening (6:30 PM - 10:30 PM). Days: Monday/Thursday (MTh), Tuesday/Friday (TF), Wednesday/Saturday (WS), Saturday/Sunday (SS).   - College of Health Sciences (1st Year): Morning (6:00 AM - 12:00 NN), Afternoon (1:00 PM - 7:30 PM). Days: MTh, TF, WS.   - Senior High School Sessions: Morning (6:00 AM - 12:00 NN), Noon Session (1:00 PM - 7:30 PM). Days: MTh, TF, WS","class schedule, class hours, morning shift, evening shift, health science schedule, shs schedule, days"
,,,,
,,Admissions - Public School Promo,"For Public School Grade 10 Completers entering SHS : There are NO top-ups, NO registration fees, NO monthly fees, and NO entrance exams. A ₱350.00 Enrollment Fee covers one full school year and includes a school ID, ID Lace, and examination booklets.","public school completer, promo, discount, free tuition, shs promo, enrollment fee"
