,,,,
,,TOPIC/INTENT,FACTUAL CONTEXT(THE ANSWER,KEYWORDS/TAGS
,,Courses - Arts and Sciences,"The College of Arts & Sciences offers the following programs: Bachelor of Arts in Communication (ABCom - 3yrs+), Bachelor of Arts in English (ABEng - 3yrs+), Bachelor of Science in Mathematics (BSM - 3yrs+), and Bachelor of Science in Psychology (BSP - 3yrs+).","arts, sciences, abcom, communication, english, math, psychology, cas"
,,,,
,,Courses - Business and Accountancy,"The College of Business & Accountancy offers the following programs: Associate in Business Administration (ABA - 2yrs), Bachelor of Science in Accounting Information System (BSAIS - 3yrs+), Bachelor of Science in Accountancy (BSA - 3yrs+), Bachelor of Science in Management Accounting (BSMA - 3yrs+), Bachelor of Science in Real Estate Management (BSREM - 3yrs+), Bachelor of Science in Internal Auditing (BSIA - 3yrs+), Bachelor of Science in Legal Management (BSLM - 3yrs+), and Bachelor of Science in Business Administration (BSBA - 3yrs+) with majors in Financial Management, Operations Management, Human Resources Management, Business Economics, and Marketing Management.","business, accountancy, bsba, bsa, accounting, management, marketing, finance, hr"
,,,,
,,Courses - Computer Studies,"The College of Computer Studies offers the following programs: Associate in Computer Technology (ACT - 2yrs), Bachelor of Science in Computer Science (BSCS - 3yrs+), Bachelor of Science in Information Technology (BSIT - 3yrs+), and Bachelor of Science in Information System (BSIS - 3yrs+). All Computer Studies programs specialize in CISCO Networking, Multi Media & Digital Animation, and Robotics Technology.","computer, it, tech, cs, computer science, programming, it, cisco, animation, robotics"
,,,,
,,Courses - Teacher Education,"The College of Teacher Education offers the following programs: Bachelor in Early Childhood Education (BECEd - 3yrs+), Bachelor in Elementary Education (BELEMED - 3yrs+), Bachelor in Secondary Education (BSEd - 3yrs+) with majors in English, Information Technology, Filipino, Mathematics, and Science. They also offer Bachelor in Technical Vocational Teacher Education (BTVTED - 3yrs+) with majors in Computer Programming and Home Economics and Livelihood Education (HELE), as well as a Certificate in Teaching Program (CPT - 6 months).","education, teacher, bsed, elementary, childhood, teaching, hele, certificate"
,,,,
,,Courses - Criminology,"The College of Criminology & Administration offers the following programs: Bachelor of Science in Criminology (BSC - 3yrs+), Bachelor of Science in Industrial Security Management (BSISM - 3yrs+), and Bachelor in Public Administration (BPA - 3yrs+).","criminology, security, public admin, bsc, bsism, police"
,,,,
,,Courses - Engineering,"The College of Engineering offers the following programs: Bachelor of Science in Computer Engineering (BSCE) which specializes in CISCO Networking and Robotics Technology, and Bachelor of Science in Electronics Engineering (BSELE) which specializes in Telecommunication and Broadcasting.","engineering, cpE, ece, electronics, computer engineering, telecomm"
,,,,
,,Courses - Health Sciences,"The College of Health Sciences offers the following programs: Bachelor of Science in Medical Technology (BSMed Tech - 4yrs), Bachelor of Science in Nursing (BSN - 4yrs), Bachelor of Science in Radiologic Technology (BSRadTech - 4yrs), and Diploma in Health Care & Wellness Associate (DHWA - 1yr).","nursing, medtech, radtech, health, medical, wellness, bsn"
,,,,
,,Courses - Hospitality and Tourism,"The International School of Hospitality & Tourism Management offers the following programs: Bachelor of Science in Hospitality Management (BSHM - 3yrs+), Bachelor of Science in Tourism Management (BSTM - 3yrs+), Diploma in Hotel & Restaurant Management-1 (DHRM1 - 1yr), and Diploma in Hotel & Restaurant Management-2 (DHRM2 - 2yrs).","hospitality, tourism, hrm, bshm, bstm, hotel, restaurant"
,,,,
,,Courses - Short Term Certificate Programs,"The university offers various Certificate Programs: Certificate in Teaching Program (CTP - 6 mos), Certificate in Caregiving (CC - 6 mos / 786 hrs), Certificate in Health Care Services NCII (CHCS-NCII - 996 hrs), Certificate in Barangay Health Services NCII (CBHS-NCII - 560 hrs), Certificate in Emergency Medical Services NCII (CEMS-NCII - 280 hrs), Certificate in Phlebotomy Technician (CPT - 2 days), Certificate in Software Developer - Python (CSD-Python - 108 hrs), Certificate in Software Developer - Block Chain (CSD-Block Chain - 108 hrs), Certificate in Bookkeeping NCIII (CB-NCIII - 292 hrs), Certificate in Housekeeping NCIII (CH-NCIII - 436 hrs), Certificate in Food & Beverages NCIV (CFB-NCIV - 140 hrs), Certificate in Barista NCII (CB-NCII - 178 hrs), Certificate in Events Management NCIII (CEM-NCIII - 108 hrs), Certificate in Shielded Metal Arc Welding NCI (CSMAW-NCI - 268 hrs), and Certificate in Shielded Metal Arc Welding NCII (CSMAW-NCII - 268 hrs).","certificate, short course, ncii, nciii, nciv, welding, barista, python, caregiving, bookkeeping"
,,,,
,,Courses - Senior High School Strands,"Senior High School (SHS) offers the Academic Track including: General Academic Strand (GAS), Science, Technology, Engineering & Mathematics Strand (STEM), Accountancy, Business & Management Strand (ABM), and Humanities & Social Sciences Strand (HUMSS). It also offers the Technical-Vocational Livelihood Track (TVLT) including Information & Communication Technology - Computer Programming (TVLT-ICT) and Home Economics Strand - Hotel & Restaurant Services (TVLT-HE).","shs, senior high, strand, stem, abm, humss, gas, tvl, high school"
,,,,
,,Admissions - SHS Pre Registration,"Senior High School Pre-Registration (SHS-PR) and Campus Tours are currently ongoing from Monday to Saturday, starting at 7:00 AM.","shs, registration, pre-reg, campus tour, admission, schedule"
