,,,,
,,,,
,,TOPIC/INTENT,FACTUAL CONTEXT(THE ANSWER)),KEYWORDS/TAGS
,,Graduation - Clearance vs E-Clearance,"Isa sa requirement ng GRADUATION APPLICATION ay ang pag-sumite ng Graduation Clearance or E-Clearance. Both documents ay para siguraduhin na ang mga graduating students ay nakapag-complied na po sa kanilang academic units including SIP/OJT courses & documentations, subject grades, school credentials/admission requirements, financial accounts, and library. Kung ang isang graduating student ay cleared na sa lahat, siya po ay otomatikong makakatangap ng E-Clearance sa kanyang registered email address or pwde mo i-monitor sa List of Candidates for Graduation ng Registrar Office. Pero kung ikaw ay may mga kailangan i-comply tulad ng Form 137, NSTP Serial Numbers, latest PSA, unsettled tution fees, unreturned books, etc, kailangan mong kumuha ng PRINTED CLEARANCE sa Registrar’s Office para masecure ang mga signature of concerned office. Sa LIST OF CANDIDATES FOR GRADUATION (Google Link posted at the Registrar’s Bulletin Board and Official FB page – www.facebook.com/ICCTCollegesRegistrarOffice ), makikita ang bawat deficiencies na need i-comply ng isang applicant for graduation. Araw-araw ay magkakarun ng update ang listahang na nasa google drive. For more info and verification of your status, tumawag lang po sa Registrar’s Office, Trunkline No. (02)7001.4228 local 604; Credentials Assistance Hotlines 0968.221.8530 or 0968.220.0486; Monday to Saturday except Holidays, from 7am to 7pm.","Graduation Clearance, E-Clearance, graduation application, requirements, academic units, SIP, OJT, grades, credentials, admissions, financial accounts, library, deficiencies, Form 137, NSTP Serial Numbers, PSA, tuition fees, unreturned books, printed clearance, signatures, List of Candidates for Graduation, Registrar, Registrar's Bulletin Board, FB page, Google Drive, trunkline, local 604, hotlines"
,,,,
,,Graduation - Process Overview,"Ang Graduation Clearance o E-Clearance ay isang processo para masiguro na ang isang student ay CLEARED na sa lahat ng obligasyun sa eskwelahan lalo na sa ACADEMIC GRADES mula 1st to 4th year level, OJT/Internship/Practicum, ADMISSION DOCUMENTS, and Settlement of School Fees. After na makapag submit ng Graduation Application with complete required documents, antayin na malathala or posted ang LIST OF GRADUATING STUDENTS sa Bulletin Board ng REGISTRAR’S OFFICE para malaman kung ikaw ay CLEARED na sa lahat ng offices at HINDI na kailangang magpa-sign ng clearance ; pero kung may nakalagay na remarks na need mong magpa-sign ng clearance for a specific office, teacher or school officer, that’s the time na need mong kumuha ng printed graduation clearance form at siguraduhin makapagpasign for clearance agad at ibalik sa Registrar Office para ma-update ang remarks sa list of graduating students on or before deadline. Example, kung ikaw ay currently enrolled, fully paid ka na sa iyong School Fees, wala kang case sa Guidance Office, kumpleto na ang iyong school documents sa Registrar Office, pero meron kang current or ongoing pa na subject/s including SIP/OJT/Prac, it means, need mo magpa-sign sa subject teacher/s and CDJP Office. Para sa anumang katanungan, maaari po tayong tumawag sa Tele-Assistance Hotlines: 0932.872.4228 / 0917.814.4228","process ng graduation clearance, step, cleared, obligasyon, academic grades, ojt, internship, practicum, admission documents, school fees, graduation application, list of graduating students, bulletin board, remarks, signatures, clearance form, deadline, guidance office, subject teacher, cdjp office, hotlines"
,,,,
,,Graduation - When to Apply & SO,"Base sa ICCT Colleges Student Handbook, ang application process para sa graduation ay marapat na gawin ng isang college student sa huling Academic Trimester Period na enrolled siya. Ang ibig sabihin, kung ikaw ay officially enrolled at huling trimester period mo na, qualified kana para mag-apply for graduation. Mula sa unang araw ng classes ng trimester period ay maaaring mag-process for graduation sa Registrar Office. Kung approved ang inyong application, ang huling araw ng iyong classes at trimester period sa ICCT Colleges ang magsisilbing DATE OF GRADUATION mo at hindi ang graduation ceremony na ginaganap tuwing buwan ng Abril/Mayo at Disyembre. Kapag kumpleto mo na lahat ng documentary requirements, clearance at approved na ang iyong graduation application, ikaw ay mapapasama na sa pag-processo ng SPECIAL ORDER NO. (SO#) . Ang SO# ay binibigay ng CHED or TESDA sa mga graduates kung saan nilalagay sa mga Diploma at TOR bilang katibayan na ang kursong natapus sa ICCT Colleges ay recognized at nasusunod ang tamang regulations o antas ng pagtuturo. Ang deadline madalas i-anunsyo ng Registrar Office ay tumutukoy sa application cut-off ng parating na graduation ceremony para siguraduhin na ang lahat ng CANDIDATES FOR GRADUATION na kasama sa graduation ceremony ay pumasa sa CHED or TESDA academic requirements at kumpleto ang kanilang mga documents katulad ng Form 137, PSA/NSO Birth Certificate, NSTP Serial No. at TOR with remarks copy for ICCT Colleges kung transferee/second courser, Assessment Certificate kung TechVoc courses, latest 2x2 color picture, etc. Example: 1st Trimester AY2024-2025 ang huling trimester period mo na para matapus ang OJT/Practicum o iba pang academic subject/s; after mong ma-enroll officially ang naturang subjects, MAAARI KA NG MAG APPLY PARA SA GRADUATION sa Registrar Office mula start ng classes hangang sa deadline of application. Kapag na-complied mo na lahat ng requirements at approved na ang graduation application mo, ikaw ay mapapasama sa pag-processo ng iyong SPECIAL ORDER NO. (SO#). Maaari ka na ring kumuha ng Certificate of Graduation while waiting for your SO#. Sa makatuwid, ikaw ay graduate sa huling araw ng classes ng 1st Trimester Period at makasama sa graduation ceremony na itatakda ng ating paaralan. Kapag natangap na ng school ang iyong SO#, gagawin agad ang iyong Diploma at maaaring ma-release eto regardless of graduation ceremony. Reminders: Bilang isang mag-aaral, marapat din na tayo ay mag-SELF EVALUATE. Siguraduhin na updated ang iyong prospectus lalo na kung nasa huling taon ka na ng pag-aaral. Maaari mo etong makita sa iyong Student Portal under GRADES menu, magrequest ng Summary of Grades, mag-verify ng grades sa Registrar Office window 1 or 3 every Wednesday and Saturday, from 8am to 4pm. Pinapayuhan ang lahat na hangat hindi ka pa nasa huling school year, dapat ay nakumpleto mo na lahat ng iyong DOCUMENTS sa ICCT Colleges para maiwasan na ma-delay ang approval ng inyong graduation. Ang application for SO# ay maaari rin ma-denied or madelay sa issuance from CHED or TESDA kapag may mga discrepancies sa documents ng graduating students. Hindi po tayo maaaring magbayd ng Graduation Fee kung hindi pa po kayo nakapag-apply for Graduation sa Registrar Office. Dahil sa Health & Safety Protocols sa kasalukuyan, pinapayuhan ang mga students na mag-set ng appointment or fill-out the School Credentials Request Google Form para maiwasan ang pagdagsa ng maraming students sa loob ng school.","kailan mag-apply para sa graduation, college graduation schedule, date of graduation, graduation ceremony, special order, so#, binibigay ng ched, tesda, diploma, tor, requirements, deadline, cut-off, form 137, psa, nso, nstp serial number, transferee, second courser, techvoc, certificate of graduation, self evaluate, prospectus, grades menu, summary of grades, sog, window 1, window 3, delay, graduation fee"
,,,,
,,Academic - Prospectus Definition,"Ang Academic PROSPECTUS ay isang dokumento o guide na naglalaman ng kumpletong impormasyon tungkol sa mga subjects o courses na kailangang kunin ng isang estudyante sa buong duration ng kanyang program o kurso sa kolehiyo. Para itong ROADMAP NG PAG-AARAL mo, mula first year hanggang sa makapagtapus. ANO ANG MGA NILALAMAN NG PROSPECTUS? (1) Listahan ng subjects per semester/trimester, (2) Number of units bawat subject, (3) Prerequisite na subjects (mga kailangan munang ipasa bago kunin ang susunod), (4) Total units required to graduate, at (5) Course codes at descriptions. BAKIT ITO MAHALAGA? (1) Gabay sa Pag-eenroll upang malaman ang dapat kunin kada termino. (2) Academic Planning sa pagplano ng susunod na school terms lalo na kung mag-summer o mag-advance, including ADDING OF SUBJECT/S during enlistment or enrolment period. (3) Avoid Delays in Graduation dahil nakikita mo ang sequence ng mga subjects at maiwasan ang prerequisite delays. (4) Transparency sa buong pinag-aaralan sa program. (5) Reference for Shift or Transfer kung lilipat ng kurso o paaralan. Halimbawa: Kung BSCriminology ang course mo, makikita sa prospectus ang lahat ng subjects mula 1st year hanggang 4th year, kasama ang mga major, minor, prerequisite subjects, at practicum. Kung ikaw ay nasa 2nd to 5th year level na, marapat na ma-monitor mo ang iyong academic standing sa simpleng SELF EVALUATION gamit ang iyong PROSPECTUS na maaaring i-download mula sa iyong Student Portal (Grades Menu/Evaluation Button); ilagay ang mga grades mo sa mismong prospectus para malaman mo kung anu ang mga subjects na dapat mong ma-enlist sa tuwing enrollment period, lalo na ang mga subjects na maaaring naiwanan mo, drop or nag-failed ka. Itago eto para guided ka hangang 4th or 5th year level. Sa tuwing enrollment period, meron po tayong ADVISING activity na maaari kang dumalo at magpa assist sa update ng iyong PROSPECTUS. Ang pagpapa-EVALUATE or pag-UPDATE ng PROSPECTUS at copy ng latest Summary of Grades (SOG) sa Registrar Office ay required kung ikaw ay nasa huling trimester period para maging official ang nilalaman ng iyong prospectus; eto rin ay hahanapin kapag ikaw ay mag apply para sa Student Internship or OJT Program. Para sa mga IRREGULAR students, siguraduhin na laging updated ang iyong PROSPECTUS bago mag-enroll. Para sa mga kukuha ng Qualifying Exam (QE), PROSPECTUS DIGITAL COPY lang po ang need ninyo, downloadable po eto from your student portal, not unless meron kang grades na blank, 5, INC, NEXP or DRP kung saan kailangan mo ng mag request ng SOG. Kung kailangan mo ng GRADES VERIFICATION, maaari kang humingi ng assistance thru guidance@icct.edu.ph or tumawag sa (02)7001.4228 local 609, or pumunta sa Window 9 ng Registrar Office para kumuha ng Grades Verification Form","ano at para saan ang academic prospectus, mahalaga, nilalaman, roadmap, gabay sa pag-eenroll, academic planning, avoid delays, transparency, reference, shift, transfer, bscriminology, self evaluation, download, grades menu, evaluation button, drop, failed, irregular students, qualifying exam, qe, digital copy, verification, guidance email, window 9"
,,,,
,,Academic - Claiming & Updating Prospectus,"PAANO NAKAKAKUHA SA REGISTRAR’S OFFICE NG IYONG ACADEMIC PROSPECTUS? Bilang first year student, during the 1st semester/trimester period, maaari na po tayong kumuha ng PROSPECTUS. Bumisita po lamang sa Window 1 or 3 ng Registrar’s Office of Cainta Main Campus or sa Admissions Counter ng Satellite Campuses tuwing Tuesday, Thursday and Saturday. Ipakita ang PROOFS na submitted mo na po ang iyong PSA Birth Certificate, Form 137 (HS/SHS Permanent Records) or anu mang admissions requirements. Kung hindi mo pa naipapasa ang PSA Birth Certificate at Form 137, kailangan mo po etong maipasa bago makakuha ng PROSPECTUS. PAANO PINAPA-UPDATE ANG ACADEMIC PROSPECTUS? Sa tuwing matatapus ang isang semester or trimester period, maaari na tayong bumisita sa Window 1 or 3 ng Registrar’s Office of Cainta Main Campus or sa Admissions Counter ng Satellite Campuses tuwing Monday, Wednesday and Friday. Ugaliin na ipa-UPDATE and PROSPECTUS regularly every semester/trimester period para well guided tayo; huwag antayin na kung kailan enrolment period saka lang po ginagawa. HINDI KAILANGAN ng Summary of Grades (SOG) para sa updating ng PROSPECTUS, basta siguraduhin na ginagawa eto every trimester period. Ire-require lamang po tayo ng SOG kung lumampas ka na ng dalawang semester or trimester period sa updating, lalo na kung mag apply na ng QE, SIP/OJT/Practicum or Graduation ngunit wala pang updated prospectus. Para sa anumang katanungan, maaari po tayong tumawag sa Tele-Assistance Hotlines: 0932.872.4228 / 0917.814.4228. English keywords: requirements need to get prospectus, prospectus claiming requirements, how to claim prospectus.","paano makakuha ng prospectus, paano pinapa-update ang prospectus, registrar window 1, window 3, satellite campuses, schedule, tuesday, thursday, saturday, monday, wednesday, friday, proof, psa birth certificate, form 137, summary of grades, sog, missing update, hotlines, requirements need to get prospectus, prospectus claiming requirements, how to claim prospectus"
,,,,
